horizon_sessions,factor,factor_label,factor_type,target,version,mean_rank_ic,rank_ic_ir,positive_ic_rate,top_bottom_spread,period_count
20,value_bp,账面市值比（BP）,收益因子,收益,中性化,0.005537413634622807,0.05133978980121531,0.49411764705882355,-0.002142990015715966,85
20,value_ep,盈利收益率（EP）,收益因子,收益,原始,0.031812454018935,0.18513591146834624,0.5529411764705883,0.003391994635624233,85
20,value_ep,盈利收益率（EP）,收益因子,收益,中性化,0.004757488183961448,0.04967578590333359,0.43529411764705883,0.0020996641242069453,85
20,liquidity_turnover_20d,20日平均换手率,收益因子,收益,原始,-0.06220868084844263,-0.35492512723478314,0.29411764705882354,-0.008201279066036102,85
20,liquidity_turnover_20d,20日平均换手率,收益因子,收益,中性化,-0.029806685945536107,-0.3487504762119564,0.3764705882352941,-0.006490319362033978,85
20,crowding_max_return_20d,20日最大单日涨幅,收益因子,收益,原始,-0.08694849298629774,-0.5048867897007357,0.27058823529411763,-0.00805110428827947,85
20,crowding_max_return_20d,20日最大单日涨幅,收益因子,收益,中性化,-0.0159681840492333,-0.1900230844512964,0.47058823529411764,-0.007968891990752538,85
20,risk_volatility_20d,20日波动率风险,风险因子,回撤风险,原始,0.2814680875548925,1.59048990570605,0.9411764705882353,0.05726073986362667,85
20,risk_volatility_20d,20日波动率风险,风险因子,回撤风险,中性化,0.22767230984791056,1.8902136459471766,0.9647058823529412,0.04806806255444835,85
20,risk_volatility_60d,60日波动率风险,风险因子,回撤风险,原始,0.28147384317554214,1.5706167758841212,0.9411764705882353,0.057335607297035095,85
20,risk_volatility_60d,60日波动率风险,风险因子,回撤风险,中性化,0.23140243729839977,1.9846318554763502,0.9764705882352941,0.049187585119317014,85
20,risk_drawdown_60d,距60日高点回撤风险,风险因子,回撤风险,原始,0.038392750913568266,0.2013222615051894,0.611764705882353,0.004185925962678458,85
20,risk_drawdown_60d,距60日高点回撤风险,风险因子,回撤风险,中性化,0.02969189197103388,0.220840852541074,0.6470588235294118,0.002101243647769563,85
20,risk_max_return_20d,20日最大单日涨幅风险,风险因子,回撤风险,原始,0.2483601671645314,1.6311213110227738,0.9411764705882353,0.04675478909570713,85
20,risk_max_return_20d,20日最大单日涨幅风险,风险因子,回撤风险,中性化,0.19494445186247067,1.724080414873492,0.9647058823529412,0.03485646471401067,85
20,risk_downside_volatility_60d,60日下行波动率风险,风险因子,回撤风险,原始,0.2042210630280679,1.10031443655493,0.9058823529411765,0.0417749183956777,85
20,risk_downside_volatility_60d,60日下行波动率风险,风险因子,回撤风险,中性化,0.16033596691688334,1.2948682496866624,0.9176470588235294,0.03329021385969393,85
20,risk_residual_volatility_60d,60日残差波动率风险,风险因子,回撤风险,原始,0.2692126501395069,1.7633830783395432,0.9529411764705882,0.055539569409511234,85
20,risk_residual_volatility_60d,60日残差波动率风险,风险因子,回撤风险,中性化,0.22223900604739347,2.070667579319735,0.9764705882352941,0.04836642612093266,85
20,risk_liquidity_pressure_60d,60日流动性压力,风险因子,回撤风险,原始,-0.07392658887772281,-0.4161994537720466,0.3058823529411765,-0.012588320319488769,85
20,risk_liquidity_pressure_60d,60日流动性压力,风险因子,回撤风险,中性化,-0.0650627895200557,-0.6601284940627851,0.23529411764705882,-0.012452373437128517,85
20,risk_cvar_60d,60日尾部损失（CVaR）,风险因子,回撤风险,原始,0.20923236025121605,1.1096523331667263,0.9058823529411765,0.04221350379377494,85
20,risk_cvar_60d,60日尾部损失（CVaR）,风险因子,回撤风险,中性化,0.1643705144505492,1.3063099687706954,0.9176470588235294,0.032662605945825166,85
20,risk_market_beta_60d,60日沪深300 Beta,风险因子,回撤风险,原始,0.09959700828097823,0.4816871289230071,0.6941176470588235,0.014290038076832295,85
