entry_date,rank_ic,top_decile_relative_return,bottom_decile_relative_return,top_bottom_spread,stock_count,market_regime,test_year,horizon_sessions,healthcare_benchmark,model
2026-07-01,0.1099058589591569,-0.007811027758821111,-0.04457484212785667,0.036763814369035565,478,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-07-08,0.31543697532719117,0.03605600400232296,-0.019575119072108644,0.055631123074431604,477,防御/修复,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-01-13,0.41848258265040195,0.05387050211198105,-0.06304309532820745,0.1169135974401885,358,大盘独涨,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-02-17,0.4107039009342054,0.041545297603503825,-0.04543362814839538,0.08697892575189921,359,医疗独立行情,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-03-17,-0.09367658037266907,-0.025631816364304477,-0.009328735927055486,-0.01630308043724899,360,防御/修复,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-04-17,0.11977035057950258,0.030799544382118085,0.011211360138120522,0.019588184243997563,360,风险偏好,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-05-18,-0.09731351503027272,-0.032503393756112706,0.00016183174538803174,-0.032665225501500736,362,防御/修复,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-06-15,0.3316813799708064,0.033698243395934475,-0.038282272400525674,0.07198051579646014,361,防御/修复,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-07-17,0.2612915918894215,0.05342891587828984,-0.04149648545243467,0.09492540133072451,362,防御/修复,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-08-14,0.12221295460226604,0.013328083896437153,-0.0029113924682930806,0.016239476364730235,361,防御/修复,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-09-11,-0.0015358825965522827,0.014339073227011202,0.060411837112581364,-0.04607276388557016,363,防御/修复,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-10-17,-0.15158868157689825,-0.027881839200651716,-0.01885525235645321,-0.009026586844198506,471,医疗独立行情,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-11-14,0.19293603279913,0.002061496726233842,-0.013884805969852474,0.015946302696086316,472,医疗独立行情,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-12-12,0.35104651389583763,0.027213504579374753,-0.03639245048821035,0.0636059550675851,473,医疗独立行情,2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-01-10,-0.044070258564223586,-0.04050852078970535,-0.04056123329116321,5.2712501457857774e-05,473,防御/修复,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-02-07,0.6016109621789396,0.13568317822018597,-0.13998207150692688,0.2756652497271128,473,防御/修复,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-03-14,0.30847808896904905,0.016210948442232226,-0.05420827484717929,0.07041922328941153,473,大盘独涨,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-04-15,0.14673488715499927,0.03658668071726772,-0.024718585537997263,0.06130526625526499,473,防御/修复,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-05-16,-0.32513263779868773,-0.05158771181859647,0.025039327782300846,-0.07662703960089731,473,风险偏好,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-06-14,0.3115192838630839,0.03159968148530471,-0.028325306710008675,0.05992498819531339,472,防御/修复,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-07-12,0.22410255958181113,0.016403231518906162,0.044304221704026946,-0.027900990185120784,472,防御/修复,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-08-09,0.07998765392221337,0.0016420842160904954,-0.011367177959779736,0.01300926217587023,471,防御/修复,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-09-06,-0.10053185747000766,-0.03018194730807244,0.08757070405663381,-0.11775265136470625,471,防御/修复,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-10-15,-0.20458458612507782,-0.05259843766025449,0.06483019242388882,-0.11742863008414331,471,风险偏好,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-11-12,0.31409382548222525,0.03003870792761275,-0.048139506559087324,0.07817821448670007,473,风险偏好,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-12-10,0.21142584891047556,0.03144179148195742,-0.03852265851119221,0.06996444999314963,474,防御/修复,2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-01-08,0.27741356832813807,0.0254454468889911,-0.029516606180761507,0.0549620530697526,475,防御/修复,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-02-13,-0.08516039311618726,-0.017245969380288367,0.051720687483485184,-0.06896665686377355,475,大盘独涨,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-03-13,0.286481697490675,0.03890339654186758,-0.020378722811006524,0.0592821193528741,475,风险偏好,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-04-11,0.23814514750097088,0.035771944497888855,-0.08456128277819301,0.12033322727608187,476,防御/修复,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-05-14,0.026420442084993168,0.004498579598145032,0.024851891146543025,-0.020353311548397993,474,风险偏好,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-06-12,0.007165690889077068,-0.025101725341251005,-0.03073111199387103,0.005629386652620024,472,医疗独立行情,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-07-10,0.020800112247374988,0.00438493401932782,-0.011471897805232245,0.015856831824560064,472,风险偏好,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-08-07,-0.0432151154844118,-0.0192513959986078,0.016187072962263543,-0.03543846896087134,474,风险偏好,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-09-04,-0.18965258222055348,-0.05457249326358501,0.01884925495585484,-0.07342174821943985,474,大盘独涨,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-10-10,0.2761762781947914,0.018948310777392396,-0.01747418329593475,0.03642249407332715,474,大盘独涨,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-11-07,0.2718841163688346,0.03225259397355885,-0.03811912333520333,0.07037171730876218,474,大盘独涨,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-12-05,-0.12683372252322433,-0.02144682843768074,-0.04260010851465074,0.021153280076970003,475,防御/修复,2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-01-06,0.14422642183328518,-0.0022876107061358835,1.3760654496893418e-05,-0.002301371360632777,476,风险偏好,2026,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-02-03,0.07432106183024063,-0.0055496127141520845,-0.03368679762282407,0.028137184908671984,477,医疗独立行情,2026,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-03-11,0.10771704312550494,-0.006453074695381124,-0.03777291525614908,0.031319840560767954,478,大盘独涨,2026,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-04-09,0.01904394450887706,-0.0044545191703342394,-0.003522646393980526,-0.0009318727763537133,478,防御/修复,2026,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-05-12,-0.21948304846890831,-0.03430493166106772,0.059588946194790465,-0.09389387785585818,479,风险偏好,2026,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-06-09,0.13978682592167177,0.021034406252760013,-0.07778647054734242,0.09882087680010243,479,防御/修复,2026,20,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-01-06,-0.08395702394789116,-0.03266024943537998,-0.02064178664544134,-0.012018462789938636,357,风险偏好,2023,5,中证申万医药生物指数,1. 趋势基线
2023-01-13,0.2187692741645219,-0.014646403039254787,-0.01977651224738469,0.005130109208129901,358,风险偏好,2023,5,中证申万医药生物指数,1. 趋势基线
2023-01-20,0.18932316276364466,0.02997057526494589,0.015507401429320158,0.014463173835625733,358,风险偏好,2023,5,中证申万医药生物指数,1. 趋势基线
2023-02-03,-0.05488781905843925,-0.0057715484868616955,0.009345264372937506,-0.015116812859799201,359,风险偏好,2023,5,中证申万医药生物指数,1. 趋势基线
