ts_code,entry_date,market_regime,predicted_relative_return,return_model_score,horizon_sessions,healthcare_benchmark,model
300760.SZ,2026-07-20,医疗独立行情,0.00011599649122415766,51.29032258064517,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300765.SZ,2026-07-20,医疗独立行情,-0.0010457908426835514,13.225806451612904,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300832.SZ,2026-07-20,医疗独立行情,-0.0002504060494659612,32.25806451612903,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300841.SZ,2026-07-20,医疗独立行情,0.00042991918873151605,65.16129032258064,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300888.SZ,2026-07-20,医疗独立行情,-0.0002027344179300701,33.5483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300896.SZ,2026-07-20,医疗独立行情,-0.0005700635936540245,22.258064516129032,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301015.SZ,2026-07-20,医疗独立行情,-0.0005476476458971236,23.225806451612904,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301017.SZ,2026-07-20,医疗独立行情,0.002136677087817723,99.35483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301047.SZ,2026-07-20,医疗独立行情,-0.00030421088034557044,30.64516129032258,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301080.SZ,2026-07-20,医疗独立行情,6.0576184667647646e-05,47.74193548387097,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301087.SZ,2026-07-20,医疗独立行情,-0.00044947439977312243,27.09677419354839,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301093.SZ,2026-07-20,医疗独立行情,-0.0010198032961242312,14.193548387096774,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301096.SZ,2026-07-20,医疗独立行情,0.0004988928842328652,69.35483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301188.SZ,2026-07-20,医疗独立行情,-0.0030610242851188034,2.258064516129032,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301201.SZ,2026-07-20,医疗独立行情,0.001507250294619491,95.16129032258065,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301207.SZ,2026-07-20,医疗独立行情,0.0004824254191130669,67.74193548387096,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301211.SZ,2026-07-20,医疗独立行情,-0.0011165902383863965,11.29032258064516,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301230.SZ,2026-07-20,医疗独立行情,0.0015332220492843315,95.80645161290322,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301235.SZ,2026-07-20,医疗独立行情,-0.002097871052290852,4.516129032258064,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301246.SZ,2026-07-20,医疗独立行情,0.0010651417793774457,89.35483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301263.SZ,2026-07-20,医疗独立行情,0.00048570674730414454,68.38709677419355,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301267.SZ,2026-07-20,医疗独立行情,0.000758516627679537,80.0,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301281.SZ,2026-07-20,医疗独立行情,-0.0011058742810453072,11.935483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301293.SZ,2026-07-20,医疗独立行情,-0.0009298964269791637,15.161290322580644,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301301.SZ,2026-07-20,医疗独立行情,0.0005871628907817865,72.58064516129032,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301333.SZ,2026-07-20,医疗独立行情,-0.00012484018729110518,38.064516129032256,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301363.SZ,2026-07-20,医疗独立行情,0.00014595957379015163,52.25806451612903,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301367.SZ,2026-07-20,医疗独立行情,-0.0011380695230690544,10.967741935483872,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301393.SZ,2026-07-20,医疗独立行情,-0.00026177833384756065,31.61290322580645,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301408.SZ,2026-07-20,医疗独立行情,0.0014979068937686043,94.83870967741936,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
