horizon_sessions,test_year,model,factor,factor_label,coefficient
20,2025,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,0.00035363211413680585
20,2025,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.001548630741140693
20,2025,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.0010049283588515969
20,2025,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.001901450141218341
20,2025,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.00987040017334464
20,2026,收益模型,trend_5d,5日趋势,-0.0006571144796928942
20,2026,收益模型,trend_20d,20日趋势,0.00025051419564697244
20,2026,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.0017361918920022297
20,2026,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.0016080797742952947
20,2026,收益模型,value_bp,账面市值比（BP）,0.00016613562425188522
20,2026,收益模型,value_ep,盈利收益率（EP）,-0.0006840386283100415
20,2026,收益模型,liquidity_turnover_20d,20日平均换手率,-0.0022367050658548106
20,2026,收益模型,crowding_max_return_20d,20日最大单日涨幅,-0.0014356788657612432
20,2026,基础回撤模型,risk_volatility_20d,20日波动率风险,0.0062968454586803235
20,2026,基础回撤模型,risk_volatility_60d,60日波动率风险,0.010021503330556777
20,2026,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0028266640175059706
20,2026,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-0.00013037576906269172
20,2026,增强回撤模型,risk_volatility_20d,20日波动率风险,-0.0011375776656220899
20,2026,增强回撤模型,risk_volatility_60d,60日波动率风险,0.00834970983905347
20,2026,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0015044281173329655
20,2026,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.0010127228477281969
20,2026,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,-0.0010663192496864137
20,2026,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.0014811685089816653
20,2026,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.0006700523707650224
20,2026,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.0008912862776316747
